Gene	Gene.synonym	Ensembl	Gene.description	Uniprot	Protein.class	Evidence	HPA.evidence	UniProt.evidence
IGFBP1	AFBP, hIGFBP-1, IBP1, IGF-BP25, PP12	ENSG00000146678	Insulin like growth factor binding protein 1	P08833	Candidate cardiovascular disease genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
IGFBP2	IBP2	ENSG00000115457	Insulin like growth factor binding protein 2	P18065	Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
IGFBP3	BP-53, IBP3	ENSG00000146674	Insulin like growth factor binding protein 3	P17936	Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
IGFBP4	BP-4, HT29-IGFBP, IBP4, IGFBP-4	ENSG00000141753	Insulin like growth factor binding protein 4	P22692	Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
IGFBP5		ENSG00000115461	Insulin like growth factor binding protein 5	P24593	Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
IGFBP6		ENSG00000167779	Insulin like growth factor binding protein 6	P24592	Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
IGFBP7	FSTL2, IGFBP-7, MAC25, PSF	ENSG00000163453	Insulin like growth factor binding protein 7	Q16270	Disease related genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
IGFBPL1	bA113O24.1	ENSG00000137142	Insulin like growth factor binding protein like 1	Q8WX77	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level
IGFL1	UNQ644	ENSG00000188293	IGF like family member 1	Q6UW32	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
IGFL3	UNQ483	ENSG00000188624	IGF like family member 3	Q6UXB1	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
IGFL4		ENSG00000204869	IGF like family member 4	Q6B9Z1	Predicted intracellular proteins, Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level
IGIP	C5orf53, LOC492311	ENSG00000182700	IgA inducing protein	A6NJ69	Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	No human protein/transcript evidence
IGLL1	14.1, CD179B, IGL5, IGLL, IGVPB	ENSG00000128322	Immunoglobulin lambda like polypeptide 1	P15814	CD markers, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
IGLL5		ENSG00000254709	Immunoglobulin lambda like polypeptide 5	B9A064	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level
IGLON5	LOC402665	ENSG00000142549	IgLON family member 5	A6NGN9	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level
IGSF10	CMF608, FLJ25972	ENSG00000152580	Immunoglobulin superfamily member 10	Q6WRI0	Disease related genes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
IHH	BDA1, HHG2	ENSG00000163501	Indian hedgehog	Q14623	Disease related genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
IL10	CSIF, IL-10, IL10A, TGIF	ENSG00000136634	Interleukin 10	P22301	Cancer-related genes, Candidate cardiovascular disease genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
IL11	AGIF, IL-11	ENSG00000095752	Interleukin 11	P20809	Cancer-related genes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
IL12A	CLMF, IL-12A, NFSK, NKSF1, p35	ENSG00000168811	Interleukin 12A	P29459	Cancer-related genes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
IL12B	CLMF, CLMF2, IL-12B, NKSF, NKSF2	ENSG00000113302	Interleukin 12B	P29460	Disease related genes, FDA approved drug targets, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
IL15	IL-15, MGC9721	ENSG00000164136	Interleukin 15	P40933	Cancer-related genes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
IL15RA	CD215, IL-15RA	ENSG00000134470	Interleukin 15 receptor subunit alpha	Q13261	CD markers, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
IL17A	CTLA8, IL-17, IL-17A, IL17	ENSG00000112115	Interleukin 17A	Q16552	Cancer-related genes, FDA approved drug targets, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
IL17B	IL-17B, IL-20, MGC138900, MGC138901, NIRF, ZCYTO7	ENSG00000127743	Interleukin 17B	Q9UHF5	Cancer-related genes, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level
IL17C	CX2, IL-17C, IL-21, MGC126884, MGC138401	ENSG00000124391	Interleukin 17C	Q9P0M4	Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
IL17D	FLJ30846, IL-17D, IL-22, IL-27, IL27	ENSG00000172458	Interleukin 17D	Q8TAD2	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level
IL17F	IL-17F, ML-1, ML1	ENSG00000112116	Interleukin 17F	Q96PD4	Disease related genes, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
IL17RA	CD217, CDw217, hIL-17R, IL-17RA, IL17R	ENSG00000177663	Interleukin 17 receptor A	Q96F46	CD markers, Disease related genes, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
IL18	IGIF, IL-18, IL-1g, IL1F4	ENSG00000150782	Interleukin 18	Q14116	Cancer-related genes, Candidate cardiovascular disease genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
IL18BP	IL18BPa	ENSG00000137496	Interleukin 18 binding protein	O95998	Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
IL19	IL-10C, IL-19, MDA1, NG.1, ZMDA1	ENSG00000142224	Interleukin 19	Q9UHD0	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
IL1A	IL-1A, IL1, IL1-ALPHA, IL1F1	ENSG00000115008	Interleukin 1 alpha	P01583	Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins, Transporters	Evidence at protein level	Evidence at transcript level	Evidence at protein level
IL1B	IL-1B, IL1-BETA, IL1F2	ENSG00000125538	Interleukin 1 beta	P01584	Cancer-related genes, Candidate cardiovascular disease genes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins, Transporters	Evidence at protein level	Evidence at transcript level	Evidence at protein level
IL1F10	FKSG75, IL-1F10, IL-1HY2, IL1-theta, MGC11983, MGC119832, MGC119833	ENSG00000136697	Interleukin 1 family member 10	Q8WWZ1	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
IL1R2	CD121b, IL1RB	ENSG00000115590	Interleukin 1 receptor type 2	P27930	Cancer-related genes, CD markers, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
IL1RAP	C3orf13, IL-1RAcP, IL1R3	ENSG00000196083	Interleukin 1 receptor accessory protein	Q9NPH3	Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
IL1RN	ICIL-1RA, IL-1RN, IL1F3, IL1RA, IRAP, MGC10430	ENSG00000136689	Interleukin 1 receptor antagonist	P18510	Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
IL2	IL-2, TCGF	ENSG00000109471	Interleukin 2	P60568	Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
IL20	IL-20, IL10D, ZCYTO10	ENSG00000162891	Interleukin 20	Q9NYY1	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
IL21	IL-21, Za11	ENSG00000138684	Interleukin 21	Q9HBE4	Disease related genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
IL22	IL-21, IL-22, IL-D110, IL-TIF, ILTIF, MGC79382, MGC79384, TIFa, TIFIL-23, zcyto18	ENSG00000127318	Interleukin 22	Q9GZX6	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
IL22RA2	CRF2-S1, IL-22BP	ENSG00000164485	Interleukin 22 receptor subunit alpha 2	Q969J5	Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
IL23A	IL-23, IL-23A, IL23P19, P19, SGRF	ENSG00000110944	Interleukin 23 subunit alpha	Q9NPF7	FDA approved drug targets, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
IL24	C49A, FISP, IL-24, IL10B, mda-7, Mob-5, ST16	ENSG00000162892	Interleukin 24	Q13007	Cancer-related genes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
IL25	IL-17E, IL-25, IL17E	ENSG00000166090	Interleukin 25	Q9H293	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
IL26	AK155, IL-26	ENSG00000111536	Interleukin 26	Q9NPH9	Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
IL27	IL-27, IL-27A, IL27A, IL27p28, IL30, MGC71873, p28	ENSG00000197272	Interleukin 27	Q8NEV9	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
IL3	IL-3, MCGF, MGC79398, MGC79399, MULTI-CSF	ENSG00000164399	Interleukin 3	P08700	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
IL31	IL-31	ENSG00000204671	Interleukin 31	Q6EBC2	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level
IL32	NK4, TAIF, TAIFb, TAIFd	ENSG00000008517	Interleukin 32	P24001	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
IL33	C9orf26, DKFZp586H0523, DVS27, IL1F11, NF-HEV	ENSG00000137033	Interleukin 33	O95760	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
IL34	C16orf77, IL-34, MGC34647	ENSG00000157368	Interleukin 34	Q6ZMJ4	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
IL36A	FIL1, FIL1E, IL-1F6, IL1(EPSILON), IL1F6, MGC129552, MGC129553	ENSG00000136694	Interleukin 36 alpha	Q9UHA7	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
IL36B	FIL1, FILI-(ETA), IL-1F8, IL-1H2, IL1-ETA, IL1F8, IL1H2, MGC126880, MGC126882	ENSG00000136696	Interleukin 36 beta	Q9NZH7	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level
IL36G	IL-1F9, IL-1H1, IL-1RP2, IL1E, IL1F9, IL1H1	ENSG00000136688	Interleukin 36 gamma	Q9NZH8	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
IL36RN	FIL1, FIL1(DELTA), FIL1D, IL-1F5, IL1F5, IL1HY1, IL1L1, IL1RP3, IL36RA, MGC29840	ENSG00000136695	Interleukin 36 receptor antagonist	Q9UBH0	Disease related genes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
IL37	FIL1, FIL1(ZETA), FIL1Z, IL-1F7, IL-1H4, IL-1RP1, IL1F7	ENSG00000125571	Interleukin 37	Q9NZH6	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
IL4	BCGF-1, BCGF1, BSF1, IL-4, MGC79402	ENSG00000113520	Interleukin 4	P05112	Cancer-related genes, Disease related genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
IL4I1	FIG1	ENSG00000104951	Interleukin 4 induced 1	Q96RQ9	Enzymes, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
IL5	EDF, IL-5, TRF	ENSG00000113525	Interleukin 5	P05113	Cancer-related genes, FDA approved drug targets, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
IL6	BSF2, HGF, HSF, IFNB2, IL-6	ENSG00000136244	Interleukin 6	P05231	Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
IL7	IL-7	ENSG00000104432	Interleukin 7	P13232	Cancer-related genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
IL9	HP40, IL-9, P40	ENSG00000145839	Interleukin 9	P15248	Cancer-related genes, Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level
IMPG1	GP147, IPM150, SPACR	ENSG00000112706	Interphotoreceptor matrix proteoglycan 1	Q17R60	Disease related genes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
INHA		ENSG00000123999	Inhibin alpha subunit	P05111	Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
INHBA		ENSG00000122641	Inhibin beta A subunit	P08476	Cancer-related genes, Candidate cardiovascular disease genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
INHBB		ENSG00000163083	Inhibin beta B subunit	P09529	Cancer-related genes, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
INHBC		ENSG00000175189	Inhibin beta C subunit	P55103	Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level
INHBE	activin, MGC4638	ENSG00000139269	Inhibin beta E subunit	P58166	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
INS	IDDM1, IDDM2	ENSG00000254647	Insulin	P01308	Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Predicted secreted proteins, RAS pathway related proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
INS-IGF2		ENSG00000129965	INS-IGF2 readthrough	F8WCM5	Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level
INSL3	MGC119818, MGC119819, RLF, RLNL	ENSG00000248099	Insulin like 3	P51460	Disease related genes, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
INSL4	EPIL	ENSG00000120211	Insulin like 4	Q14641	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
INSL5		ENSG00000172410	Insulin like 5	Q9Y5Q6	Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
INSL6	RIF1	ENSG00000120210	Insulin like 6	Q9Y581	Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level
ISG15	G1P2, IFI15, UCRP	ENSG00000187608	ISG15 ubiquitin-like modifier	P05161	Disease related genes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
ISM1	bA149I18.1, C20orf82	ENSG00000101230	Isthmin 1	B1AKI9	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level
ISM2	FLJ32147, TAIL1, THSD3	ENSG00000100593	Isthmin 2	Q6H9L7	Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level
ITGBL1	OSCP, TIED	ENSG00000198542	Integrin subunit beta like 1	O95965	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level
ITIH1	H1P, IATIH, ITIH	ENSG00000055957	Inter-alpha-trypsin inhibitor heavy chain 1	P19827	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
ITIH2	H2P	ENSG00000151655	Inter-alpha-trypsin inhibitor heavy chain 2	P19823	Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
ITIH3	H3P	ENSG00000162267	Inter-alpha-trypsin inhibitor heavy chain 3	Q06033	Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
ITIH4	H4P, IHRP, ITIHL1	ENSG00000055955	Inter-alpha-trypsin inhibitor heavy chain family member 4	Q14624	Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
ITIH5	MGC10848	ENSG00000123243	Inter-alpha-trypsin inhibitor heavy chain family member 5		Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	
ITIH6	ITIH5L, UNQ6369	ENSG00000102313	Inter-alpha-trypsin inhibitor heavy chain family member 6	Q6UXX5	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
ITLN1	FLJ20022, hIntL, HL-1, ITLN, LFR	ENSG00000179914	Intelectin 1	Q8WWA0	Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
ITLN2	HL-2	ENSG00000158764	Intelectin 2	Q8WWU7	Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level
IZUMO4	C19orf36	ENSG00000099840	IZUMO family member 4	Q1ZYL8	Predicted intracellular proteins, Predicted secreted proteins, Transporters	Evidence at protein level	Evidence at protein level	Evidence at transcript level
JAM3	JAM-C, JAMC	ENSG00000166086	Junctional adhesion molecule 3	Q9BX67	Disease related genes, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
JCHAIN	IGCJ, IGJ, JCH	ENSG00000132465	Joining chain of multimeric IgA and IgM	P01591	Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
KAZALD1	FKSG28, FKSG40	ENSG00000107821	Kazal type serine peptidase inhibitor domain 1	Q96I82	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
KCP	CRIM2, FLJ33365, NET67	ENSG00000135253	Kielin/chordin-like protein		Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	
KERA	CNA2, SLRR2B	ENSG00000139330	Keratocan	O60938	Disease related genes, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
KIAA0100	BCOX, BCOX1, CT101, DKFZp686M0843, FMP27, MGC111488	ENSG00000007202	KIAA0100	Q14667	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
KIAA0319	NMIG	ENSG00000137261	KIAA0319	Q5VV43	Disease related genes, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
KIR3DX1	FLJ00060, LENG12	ENSG00000104970	Killer cell immunoglobulin like receptor, three Ig domains X1		Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	
KISS1		ENSG00000170498	KiSS-1 metastasis suppressor	Q15726	Cancer-related genes, Disease related genes, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
KL		ENSG00000133116	Klotho	Q9UEF7	Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins, Predicted secreted proteins, Transporters	Evidence at protein level	Evidence at transcript level	Evidence at protein level
KLK1	Klk6	ENSG00000167748	Kallikrein 1	P06870	Enzymes, FDA approved drug targets, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
KLK10	NES1, PRSSL1	ENSG00000129451	Kallikrein related peptidase 10	O43240	Cancer-related genes, Enzymes, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
KLK11	PRSS20, TLSP	ENSG00000167757	Kallikrein related peptidase 11	Q9UBX7	Cancer-related genes, Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
KLK12	KLK-L5	ENSG00000186474	Kallikrein related peptidase 12	Q9UKR0	Enzymes, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
KLK13	KLK-L4	ENSG00000167759	Kallikrein related peptidase 13	Q9UKR3	Cancer-related genes, Enzymes, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level
KLK14	KLK-L6	ENSG00000129437	Kallikrein related peptidase 14	Q9P0G3	Cancer-related genes, Enzymes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
KLK15	ACO, HSRNASPH, prostinogen	ENSG00000174562	Kallikrein related peptidase 15	Q9H2R5	Cancer-related genes, Enzymes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
KLK2		ENSG00000167751	Kallikrein related peptidase 2	P20151	Cancer-related genes, Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
KLK3	APS, PSA	ENSG00000142515	Kallikrein related peptidase 3	P07288	Cancer-related genes, Enzymes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
KLK4	EMSP, EMSP1, KLK-L1, PRSS17, PSTS	ENSG00000167749	Kallikrein related peptidase 4	Q9Y5K2	Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
KLK5	KLK-L2, SCTE	ENSG00000167754	Kallikrein related peptidase 5	Q9Y337	Cancer-related genes, Enzymes, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
KLK6	Bssp, Klk7, neurosin, PRSS18, PRSS9	ENSG00000167755	Kallikrein related peptidase 6	Q92876	Cancer-related genes, Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
KLK8	HNP, neuropsin, ovasin, PRSS19, TADG14	ENSG00000129455	Kallikrein related peptidase 8	O60259	Cancer-related genes, Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
KLK9	KLK-L3	ENSG00000213022	Kallikrein related peptidase 9	Q9UKQ9	Cancer-related genes, Enzymes, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level
KLKB1	KLK3	ENSG00000164344	Kallikrein B1	P03952	Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
KNG1	BDK, BK, KNG	ENSG00000113889	Kininogen 1	P01042	Disease related genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
KRTDAP	KDAP, UNQ467	ENSG00000188508	Keratinocyte differentiation associated protein	P60985	Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
LACRT	LACRITIN	ENSG00000135413	Lacritin	Q9GZZ8	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
LAD1		ENSG00000159166	Ladinin 1	O00515	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
LAG3	CD223	ENSG00000089692	Lymphocyte activating 3	P18627	CD markers, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
LAIR2	CD306	ENSG00000167618	Leukocyte associated immunoglobulin like receptor 2	Q6ISS4	CD markers, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
LALBA	LYZL7	ENSG00000167531	Lactalbumin alpha	P00709	Cancer-related genes, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
LAMA1	LAMA	ENSG00000101680	Laminin subunit alpha 1	P25391	Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
LAMA2	LAMM	ENSG00000196569	Laminin subunit alpha 2	P24043	Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
LAMA3	BM600-150kDa, epiligrin, kalinin-165kDa, LAMNA, nicein-150kDa	ENSG00000053747	Laminin subunit alpha 3	Q16787	Disease related genes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
LAMA5		ENSG00000130702	Laminin subunit alpha 5	O15230	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
LAMB1	CLM	ENSG00000091136	Laminin subunit beta 1	P07942	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
LAMB2	LAMS, NPHS5	ENSG00000172037	Laminin subunit beta 2	P55268	Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
LAMB3	BM600-125kDa, kalinin-140kDa, LAMNB1, nicein-125kDa	ENSG00000196878	Laminin subunit beta 3	Q13751	Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
LAMB4		ENSG00000091128	Laminin subunit beta 4	A4D0S4	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level
LAMC2	BM600-100kDa, EBR2, EBR2A, kalinin-105kDa, LAMB2T, LAMNB2, nicein-100kDa	ENSG00000058085	Laminin subunit gamma 2	Q13753	Disease related genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
LAMC3	DKFZp434E202	ENSG00000050555	Laminin subunit gamma 3	Q9Y6N6	Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
LBP	BPIFD2	ENSG00000129988	Lipopolysaccharide binding protein	P18428	Plasma proteins, Predicted secreted proteins, Transporters	Evidence at protein level	Evidence at protein level	Evidence at protein level
LCAT		ENSG00000213398	Lecithin-cholesterol acyltransferase	P04180	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
LCN1	MGC71975, PMFA, TLC, TP, VEGP	ENSG00000160349	Lipocalin 1	P31025	Cancer-related genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
